№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
52619319;КРТ;Карретера;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";ИНСКАЯ;ЗСБ;ЗЕРНО БОБОВ;67;27181479;14.05.2019;22.05.2019;;;21.06.2019
29282795;КРТ;#N/A;#N/A;#N/A;#N/A;ГВАРДЕЙСК;КЛГ;"ООО ""Торговое представительство ХЛ""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ552646;17.05.2019;18.05.2019;18.05.2019;31.05.2019;20.05.2019
52658689;КРТ;Карретера;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";ВОЗЖАЕВКА;ЗАБ;ЗЕРНО БОБОВ;67;27242903;22.05.2019;22.05.2019;;;29.06.2019
28830743;КРТ;Рузгард;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";КРАСНОЯРСК-ВОСТОЧНЫЙ;КРС;ЗЕРНО БОБОВ;67;27198783;15.05.2019;22.05.2019;;;22.06.2019
55000541;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУЖСКАЯ;ОКТ;ПШЕНИЦА;70;ЭИ779022;01.05.2019;11.05.2019;;12.05.2019;18.05.2019
59947762;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ДОСАТУЙ;ЗАБ;"Акционерное общество ""Племенной завод ""Комсомолец""";ПЕРМЬ2;СВР;"АО ""Пермский мукомольный завод""";ПЕРМЬ2;СВР;ПШЕНИЦА;64;ЭЙ065503;09.05.2019;21.05.2019;20.05.2019;;25.05.2019
53260238;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;МЕЛЕУЗ;КБШ;"Общество с ограниченной ответственностью ""РЕЗЕРВ-ЛТД""";ГЛАЗОВ;ГОР;"хххООО ""Глазовский ККЗ""";СТЕРЛИТАМАК;КБШ;ПШЕНИЦА;70;ЭЙ688420;21.05.2019;22.05.2019;;;27.05.2019
55000285;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";АРГАЯШ;ЮУР;"ЗАО ""Уралбройлер""";СМОЛЕНСК-СОРТИРОВОЧНЫЙ;МСК;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;55;27233408;20.05.2019;22.05.2019;;01.06.2019;07.06.2019
53259008;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;УЛУСАРКА;ЮВС;"ООО ""БАЛТСЕРВИС""";ПАЛЛАСОВКА;ПРВ;"ОАО ""Палласовский элеватор""";ПАЛЛАСОВКА;ПРВ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭГ453548;09.01.2019;15.01.2019;15.01.2019;;15.01.2019
59947739;94м3;#N/A;#N/A;#N/A;норм;КАЛИНИНГРАД-СОРТИРОВОЧНЫЙ;КЛГ;"ООО ""БАЛТСЕРВИС""";ПАЛЛАСОВКА;ПРВ;"ОАО ""Палласовский элеватор""";ПАЛЛАСОВКА;ПРВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;26527380;05.01.2019;15.01.2019;15.01.2019;;18.01.2019
