Вагон;Принадлежность;Грузоподъемность;Вес тары;Код ПНЛ
29012085;20;70,2;23,4;141/дв
29127198;20;70,2;23,4;141/дв
29177698;20;70,2;23,4;141/дв
52409893;20;70,2;23,4;141/дв
52457694;20;70,2;23,4;141/дв
52457793;20;70,2;23,4;141/дв
28059525;20;70,2;23,4;141/дв
28069706;20;70,2;23,4;141/дв
28069789;20;70,2;23,4;141/дв
28822120;20;70,2;23,4;141/дв
28830156;20;70,2;23,4;141/дв
28830743;20;70,2;23,4;141/дв
28832988;20;70,2;23,4;141/дв
28834141;20;70,2;23,4;141/дв
28834802;20;70,2;23,4;141/дв
28834901;20;70,2;23,4;141/дв
28834968;20;70,2;23,4;141/дв
52012432;20;70,2;23,4;141/дв
52017597;20;70,2;23,4;141/дв
52042694;20;70,2;23,4;141/дв
52111127;20;70,2;23,4;141/дв
52462629;20;70,2;23,4;141/дв
52468386;20;70,2;23,4;141/дв
52468402;20;70,2;23,4;141/дв
52468410;20;70,2;23,4;141/дв
52468428;20;70,2;23,4;141/дв
52468436;20;70,2;23,4;141/дв
52468444;20;70,2;23,4;141/дв
52468451;20;70,2;23,4;141/дв
52468469;20;70,2;23,4;141/дв
52468477;20;70,2;23,4;141/дв
52468485;20;70,2;23,4;141/дв
52468501;20;70,2;23,4;141/дв
52468519;20;70,2;23,4;141/дв
52468527;20;70,2;23,4;141/дв
52468535;20;70,2;23,4;141/дв
52468543;20;70,2;23,4;141/дв
52468550;20;70,2;23,4;141/дв
52468568;20;70,2;23,4;141/дв
52468576;20;70,2;23,4;141/дв
52468584;20;70,2;23,4;141/дв
52468600;20;70,2;23,4;141/дв
52468618;20;70,2;23,4;141/дв
52468626;20;70,2;23,4;141/дв
52468634;20;70,2;23,4;141/дв
52468642;20;70,2;23,4;141/дв
52468659;20;70,2;23,4;141/дв
52468667;20;70,2;23,4;141/дв
52468675;20;70,2;23,4;141/дв
52468683;20;70,2;23,4;141/дв
52468709;20;70,2;23,4;141/дв
52468717;20;70,2;23,4;141/дв
52468725;20;70,2;23,4;141/дв
52468733;20;70,2;23,4;141/дв
52468741;20;70,2;23,4;141/дв
52468758;20;70,2;23,4;141/дв
52468766;20;70,2;23,4;141/дв
52468774;20;70,2;23,4;141/дв
52468782;20;70,2;23,4;141/дв
52468808;20;70,2;23,4;141/дв
52468816;20;70,2;23,4;141/дв
52468824;20;70,2;23,4;141/дв
52468832;20;70,2;23,4;141/дв
52468840;20;70,2;23,4;141/дв
52468857;20;70,2;23,4;141/дв
52468865;20;70,2;23,4;141/дв
52468873;20;70,2;23,4;141/дв
52468881;20;70,2;23,4;141/дв
52468907;20;70,2;23,4;141/дв
52468915;20;70,2;23,4;141/дв
52468923;20;70,2;23,4;141/дв
52468931;20;70,2;23,4;141/дв
52468949;20;70,2;23,4;141/дв
52468956;20;70,2;23,4;141/дв
52468964;20;70,2;23,4;141/дв
52468972;20;70,2;23,4;141/дв
52468980;20;70,2;23,4;141/дв
52469004;20;70,2;23,4;141/дв
52469012;20;70,2;23,4;141/дв
52469020;20;70,2;23,4;141/дв
52469038;20;70,2;23,4;141/дв
52469046;20;70,2;23,4;141/дв
52469053;20;70,2;23,4;141/дв
52469061;20;70,2;23,4;141/дв
52469079;20;70,2;23,4;141/дв
52469087;20;70,2;23,4;141/дв
52469103;20;70,2;23,4;141/дв
52469111;20;70,2;23,4;141/дв
52469129;20;70,2;23,4;141/дв
52469137;20;70,2;23,4;141/дв
52469145;20;70,2;23,4;141/дв
52469152;20;70,2;23,4;141/дв
52469160;20;70,2;23,4;141/дв
52469178;20;70,2;23,4;141/дв
52469186;20;70,2;23,4;141/дв
52469202;20;70,2;23,4;141/дв
52469210;20;70,2;23,4;141/дв
52469228;20;70,2;23,4;141/дв
52469236;20;70,2;23,4;141/дв
52469244;20;70,2;23,4;141/дв
52469251;20;70,2;23,4;141/дв
52469269;20;70,2;23,4;141/дв
52469277;20;70,2;23,4;141/дв
52469285;20;70,2;23,4;141/дв
52469301;20;70,2;23,4;141/дв
52469319;20;70,2;23,4;141/дв
52469327;20;70,2;23,4;141/дв
52469335;20;70,2;23,4;141/дв
52469343;20;70,2;23,4;141/дв
52469350;20;70,2;23,4;141/дв
52469368;20;70,2;23,4;141/дв
